Gene_num,Gene_name,NodeType
0,ABL1-TRAN,Gene-TRAN
1,ABL2-TRAN,Gene-TRAN
2,ACAA1-TRAN,Gene-TRAN
3,ACACA-TRAN,Gene-TRAN
4,ACACB-TRAN,Gene-TRAN
5,ACADL-TRAN,Gene-TRAN
6,ACADM-TRAN,Gene-TRAN
7,ACOX1-TRAN,Gene-TRAN
8,ACOX2-TRAN,Gene-TRAN
9,ACOX3-TRAN,Gene-TRAN
10,ACSBG1-TRAN,Gene-TRAN
11,ACSBG2-TRAN,Gene-TRAN
12,ACSL1-TRAN,Gene-TRAN
13,ACSL3-TRAN,Gene-TRAN
14,ACSL4-TRAN,Gene-TRAN
15,ACSL5-TRAN,Gene-TRAN
16,ACSL6-TRAN,Gene-TRAN
17,ACTA2-TRAN,Gene-TRAN
18,ACTB-TRAN,Gene-TRAN
19,ACTG1-TRAN,Gene-TRAN
20,ACVR1-TRAN,Gene-TRAN
21,ACVR1B-TRAN,Gene-TRAN
22,ACVR1C-TRAN,Gene-TRAN
23,ACVR2A-TRAN,Gene-TRAN
24,ACVR2B-TRAN,Gene-TRAN
25,ADAM17-TRAN,Gene-TRAN
26,ADCY1-TRAN,Gene-TRAN
27,ADCY10-TRAN,Gene-TRAN
28,ADCY2-TRAN,Gene-TRAN
29,ADCY3-TRAN,Gene-TRAN
30,ADCY4-TRAN,Gene-TRAN
31,ADCY5-TRAN,Gene-TRAN
32,ADCY6-TRAN,Gene-TRAN
33,ADCY7-TRAN,Gene-TRAN
34,ADCY8-TRAN,Gene-TRAN
35,ADCY9-TRAN,Gene-TRAN
36,ADCYAP1-TRAN,Gene-TRAN
37,ADCYAP1R1-TRAN,Gene-TRAN
38,ADGRB1-TRAN,Gene-TRAN
39,ADIPOQ-TRAN,Gene-TRAN
40,ADIPOR1-TRAN,Gene-TRAN
41,ADIPOR2-TRAN,Gene-TRAN
42,ADORA1-TRAN,Gene-TRAN
43,ADORA2A-TRAN,Gene-TRAN
44,ADORA2B-TRAN,Gene-TRAN
45,ADORA3-TRAN,Gene-TRAN
46,ADRA1A-TRAN,Gene-TRAN
47,ADRA1B-TRAN,Gene-TRAN
48,ADRA1D-TRAN,Gene-TRAN
49,ADRA2A-TRAN,Gene-TRAN
50,ADRA2B-TRAN,Gene-TRAN
51,ADRA2C-TRAN,Gene-TRAN
52,ADRB1-TRAN,Gene-TRAN
53,ADRB2-TRAN,Gene-TRAN
54,ADRB3-TRAN,Gene-TRAN
55,AFDN-TRAN,Gene-TRAN
56,AFP-TRAN,Gene-TRAN
57,AGAP2-TRAN,Gene-TRAN
58,AGER-TRAN,Gene-TRAN
59,AGRP-TRAN,Gene-TRAN
60,AGT-TRAN,Gene-TRAN
61,AGTR1-TRAN,Gene-TRAN
62,AIFM2-TRAN,Gene-TRAN
63,AIM2-TRAN,Gene-TRAN
64,AJUBA-TRAN,Gene-TRAN
65,AKT1-TRAN,Gene-TRAN
66,AKT1S1-TRAN,Gene-TRAN
67,AKT2-TRAN,Gene-TRAN
68,AKT3-TRAN,Gene-TRAN
69,ALDOA-TRAN,Gene-TRAN
70,ALDOB-TRAN,Gene-TRAN
71,ALDOC-TRAN,Gene-TRAN
72,AMH-TRAN,Gene-TRAN
73,AMHR2-TRAN,Gene-TRAN
74,AMOT-TRAN,Gene-TRAN
75,ANAPC5-TRAN,Gene-TRAN
76,ANGPT1-TRAN,Gene-TRAN
77,ANGPT2-TRAN,Gene-TRAN
78,ANGPT4-TRAN,Gene-TRAN
79,ANGPTL4-TRAN,Gene-TRAN
80,AOX1-TRAN,Gene-TRAN
81,APAF1-TRAN,Gene-TRAN
82,APBB1IP-TRAN,Gene-TRAN
83,APC-TRAN,Gene-TRAN
84,APC2-TRAN,Gene-TRAN
85,APH1A-TRAN,Gene-TRAN
86,APH1B-TRAN,Gene-TRAN
